n,A,A2,A3,B3,B4,B5,B6,c4,d2,d3,D1,D2,D3,D4,E2
63,0.377964473,0.0808381726,0.3794915338,0.7300538462,1.2699461538,0.7271161348,1.2648359345,0.9959760346,4.6755692383,0.6355161696,2.7690207295,6.582117747,0.5922317879,1.4077682121,0.6416331033
64,0.375,0.0800005644,0.376490989,0.7322132433,1.2677867567,0.7293135142,1.262766036,0.9960397751,4.6874669302,0.6344198774,2.7842072981,6.5907265623,0.593968414,1.406031586,0.6400045152
65,0.3721042038,0.0791853116,0.3735605191,0.7343216376,1.2656783624,0.7314589051,1.2607441504,0.9961015277,4.699156904,0.6333450502,2.7991217534,6.5991920546,0.5956646715,1.4043353285,0.6384123921
66,0.3692744729,0.0783914723,0.370697438,0.7363810057,1.2636189943,0.7335543219,1.2587684465,0.9961613842,4.7106459712,0.632290947,2.8137731303,6.607518812,0.5973221396,1.4026778604,0.6368553312
67,0.3665083331,0.077618158,0.3678992016,0.7383932183,1.2616067817,0.7356016715,1.2568371896,0.9962194305,4.7219406193,0.6312568626,2.8281700314,6.6157112071,0.598942312,1.401057688,0.6353320048
68,0.3638034376,0.0768645304,0.3651633982,0.7403600481,1.2596399519,0.7376027603,1.2549487347,0.9962757475,4.7330470321,0.6302421262,2.8423206534,6.6237734109,0.6005266024,1.3994733976,0.6338411555
69,0.3611575593,0.0761297974,0.3624877402,0.7422831755,1.2577168245,0.7395593016,1.2531015211,0.9963304113,4.7439711082,0.6292460987,2.8562328121,6.6317094042,0.6020763506,1.3979236494,0.6323815916
70,0.3585685828,0.0754132099,0.3598700551,0.7441641954,1.2558358046,0.7414729209,1.2512940666,0.9963834938,4.7547184777,0.6282681704,2.8699139664,6.639522989,0.6035928267,1.3964071733,0.6309521824
71,0.3560344975,0.0747140593,0.3573082792,0.746004622,1.253995378,0.7433451621,1.2495249627,0.9964350624,4.7652945186,0.6273077606,2.8833712369,6.6472178004,0.6050772362,1.3949227638,0.6295518542
72,0.3535533906,0.0740316743,0.3548004499,0.7478058948,1.2521941052,0.7451774925,1.2477928697,0.9964851811,4.7757043714,0.6263643142,2.8966114288,6.654797314,0.6065307237,1.3934692763,0.6281795871
73,0.3511234416,0.0733654186,0.3523447,0.7495693825,1.2504306175,0.7469713077,1.2460965127,0.9965339102,4.7859529522,0.6254373013,2.9096410482,6.6622648562,0.6079543776,1.3920456224,0.626834411
74,0.3487429162,0.0727146886,0.3499392512,0.7512963878,1.2487036122,0.7487279359,1.2444346774,0.9965813066,4.7960449664,0.6245262156,2.9224663196,6.6696236133,0.6093492325,1.3906507675,0.625515403
75,0.3464101615,0.0720789115,0.3475824095,0.7529881516,1.2470118484,0.7504486421,1.2428062067,0.9966274244,4.8059849196,0.6236305729,2.935093201,6.6768766382,0.6107162736,1.3892837264,0.624221684
76,0.3441236008,0.0714575429,0.3452725593,0.7546458562,1.2453541438,0.7521346321,1.2412099969,0.9966723145,4.8157771291,0.6227499094,2.9475274008,6.6840268574,0.612056439,1.387943561,0.6229524165
77,0.3418817294,0.0708500655,0.3430081595,0.7562706292,1.2437293708,0.7537870556,1.239644995,0.9967160253,4.825425734,0.6218837817,2.9597743887,6.6910770792,0.613370623,1.386629377,0.6217068017
78,0.3396831102,0.0702559871,0.3407877387,0.7578635468,1.2421364532,0.75540701,1.2381101954,0.9967586027,4.8349347049,0.6210317646,2.9718394109,6.6980299988,0.6146596784,1.3853403216,0.6204840775
79,0.3375263703,0.0696748391,0.3386098914,0.7594256365,1.2405743635,0.756995543,1.2366046375,0.9968000902,4.8443078526,0.6201934509,2.9837275,6.7048882052,0.6159244191,1.3840755809,0.6192835161
80,0.3354101966,0.0691061753,0.3364732741,0.7609578798,1.2390421202,0.7585536556,1.2351274028,0.9968405292,4.8535488369,0.6193684496,2.9954434883,6.7116541856,0.6171656223,1.3828343777,0.6181044223
81,0.3333333333,0.0685495702,0.3343766021,0.7624612152,1.2375387848,0.7600823048,1.2336776129,0.9968799588,4.862661174,0.6185563858,3.0069920166,6.7183303314,0.6183840307,1.3816159693,0.6169461315
82,0.3312945782,0.0680046181,0.3323186459,0.7639365404,1.2360634596,0.7615824062,1.2322544268,0.9969184165,4.8716482439,0.6177568997,3.0183775449,6.724918943,0.6195803543,1.3804196457,0.6158080078
83,0.32929278,0.0674709318,0.3302982284,0.7653847146,1.2346152854,0.7630548358,1.2308570395,0.9969559377,4.8805132976,0.6169696455,3.029604361,6.7314222342,0.6207552723,1.3792447277,0.6146894429
84,0.3273268354,0.0669481417,0.328314222,0.7668065603,1.2331934397,0.7645004326,1.2294846796,0.9969925561,4.889259463,0.6161942911,3.0406765897,6.7378423364,0.6219094349,1.3780905651,0.613589854
85,0.3253956867,0.0664358945,0.3263655459,0.7682028658,1.2317971342,0.7659200004,1.2281366077,0.9970283041,4.8978897515,0.6154305171,3.0515982002,6.7441813029,0.6230434646,1.3769565354,0.6125086828
86,0.3234983196,0.0659338525,0.3244511638,0.7695743866,1.2304256134,0.7673143099,1.2268121145,0.9970632122,4.9064070634,0.6146780162,3.0623730148,6.750441112,0.6241579582,1.3758420418,0.611445394
87,0.3216337605,0.0654416928,0.3225700815,0.7709218473,1.2290781527,0.7686841,1.2255105195,0.9970973097,4.9148141933,0.6139364928,3.0730047148,6.7566236717,0.6252534875,1.3747465125,0.6103994743
88,0.3198010745,0.0649591062,0.3207213445,0.7722459433,1.2277540567,0.7700300798,1.2242311694,0.9971306246,4.9231138348,0.6132056624,3.0834968476,6.762730822,0.6263306011,1.3736693989,0.6093704311
89,0.317999364,0.0644857969,0.3189040363,0.7735473421,1.2264526579,0.7713529302,1.2229734367,0.9971631834,4.9313085861,0.6124852508,3.0938528336,6.7687643387,0.6273898256,1.3726101744,0.6083577914
90,0.316227766,0.0640214813,0.3171172763,0.7748266847,1.2251733153,0.7726533049,1.2217367184,0.9971950117,4.9394009535,0.6117749939,3.1040759717,6.7747259353,0.6284316663,1.3715683337,0.6073611007
91,0.314485451,0.0635658878,0.3153602181,0.7760845873,1.2239154127,0.7739318323,1.220520435,0.9972261337,4.9473933562,0.6110746372,3.1141694447,6.7806172677,0.6294566089,1.3705433911,0.6063799225
92,0.3127716211,0.0631187557,0.3136320478,0.7773216419,1.2226783581,0.7751891164,1.2193240288,0.9972565726,4.9552881299,0.610383935,3.124136325,6.7864399349,0.6304651199,1.3695348801,0.605413837
93,0.3110855084,0.0626798352,0.3119319824,0.7785384182,1.2214615818,0.7764257381,1.2181469636,0.9972863508,4.9630875311,0.6097026506,3.1339795791,6.792195483,0.631457648,1.368542352,0.6044624402
94,0.3094263739,0.0622488862,0.3102592681,0.7797354642,1.2202645358,0.7776422562,1.2169887228,0.9973154895,4.9707937398,0.6090305555,3.1437020734,6.7978854062,0.6324346247,1.3675653753,0.6035253436
95,0.3077935056,0.0618256785,0.3086131794,0.7809133074,1.2190866926,0.7788392088,1.2158488094,0.9973440091,4.9784088637,0.6083674288,3.1533065773,6.80351115,0.6333964654,1.3666035346,0.6026021731
96,0.3061862178,0.0614099906,0.3069930173,0.7820724558,1.2179275442,0.780017114,1.2147267442,0.9973719291,4.9859349408,0.6077130575,3.1627957684,6.8090741131,0.6343435697,1.3656564303,0.6016925683
97,0.3046038495,0.0610016099,0.3053981081,0.7832133987,1.2167866013,0.7811764707,1.2136220657,0.9973992682,4.9933739426,0.6070672357,3.1721722357,6.8145756496,0.6352763226,1.3647236774,0.600796182
98,0.3030457634,0.060600332,0.3038278026,0.7843366078,1.2156633922,0.7823177601,1.2125343286,0.9974260444,5.0007277771,0.6064297643,3.1814384843,6.8200170699,0.6361950952,1.3638049048,0.5999126795
99,0.3015113446,0.06020596,0.3022814747,0.7854425376,1.2145574624,0.7834414459,1.2114631038,0.9974522748,5.007998291,0.6058004509,3.1905969384,6.8253996437,0.637100245,1.362899755,0.599041738
100,0.3,0.0598183046,0.3007585202,0.7865316268,1.2134683732,0.7845479752,1.210407977,0.9974779761,5.0151872729,0.6051791095,3.1996499443,6.8307246014,0.6379921168,1.3620078832,0.5981830462
